county_state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,cfips,pct_bb_2017,pct_bb_2018,pct_bb_2019,pct_bb_2020,pct_bb_2021,pct_college_2017,pct_college_2018,pct_college_2019,pct_college_2020,pct_college_2021,pct_foreign_born_2017,pct_foreign_born_2018,pct_foreign_born_2019,pct_foreign_born_2020,pct_foreign_born_2021,pct_it_workers_2017,pct_it_workers_2018,pct_it_workers_2019,pct_it_workers_2020,pct_it_workers_2021,median_hh_inc_2017,median_hh_inc_2018,median_hh_inc_2019,median_hh_inc_2020,median_hh_inc_2021,state
Abbeville County South Carolina,1.3356532,1.1974822,1.2588916,1.2281868,1.217952,1.1953009,1.1491305,1.210691,1.2055609,1.215821,1.2363412,1.1850408,1.210691,1.2260811,1.210691,1.210691,1.210691,1.2071611,1.5959079,1.6061381,1.6317135,1.6214833,1.6214833,1.6061381,1.5703325,1.5601023,1.5089514,1.4833759,1.4833759,1.4075887,1.3820889,1.3565892,1.3259894,1.3106896,1.3310894,1.3514892,1.3310894,1.3106896,1.2902896,45001.0,62.7,65.7,68.8,74.1,72.9,10.0,11.4,11.0,13.0,12.8,0.9,1.3,1.8,2.4,2.1,1.6,1.8,1.6,2.0,1.5,35254.0,36685.0,38741.0,43090.0,45710.0,South Carolina
Acadia Parish Louisiana,1.6955431999999997,1.651956,1.651956,1.6432385,1.7216955,1.6904958000000003,1.6861501000000003,1.6752857,1.6904958000000003,1.6622485,1.6557299,1.6535569,1.6644213,1.6296554,1.6253096,1.6231368,1.6079266,1.5790044,1.5095977,1.5312873,1.5182735,1.5095977,1.5161046,1.54647,1.5529768,1.5334562,1.5356252,1.550808,1.5291183,1.5221293,1.554561,1.5891548,1.6561804,1.6583425,1.7015848,1.705909,1.6929364000000002,1.6713151999999998,1.6778015999999998,22001.0,66.0,70.9,76.7,77.9,77.9,8.3,9.5,10.0,10.4,9.8,1.5,1.6,1.3,1.4,1.1,1.4,1.7,2.1,2.5,1.5,40492.0,41177.0,43396.0,44412.0,42368.0,Louisiana
Accomack County Virginia,2.9109392,2.7068653,2.8339303,2.9686959,2.9340417,2.8885193,2.7841151,2.8073161,2.8421175,2.8305171,2.7995825,2.8073161,2.8575847,2.8885193,2.8730521,2.7067785,2.6101079,2.5428007,2.3875151,2.3991616,2.3564579,2.3370473,2.3254008,2.3254008,2.3176365,2.3176365,2.3098724,2.302108,2.2865794,2.2871764,2.3065591,2.3724608,2.3492014,2.360831,2.3647077,2.4306095,2.4112265,2.442239,2.461622,51001.0,61.9,63.8,68.5,72.8,77.0,11.4,11.1,11.3,11.3,12.1,7.0,6.4,7.7,8.4,8.3,0.5,0.6,0.7,0.8,0.3,42260.0,43210.0,46073.0,46178.0,50601.0,Virginia
Ada County Idaho,11.778187,11.920884,11.92394,12.011331,11.977107,11.650465,11.528472,11.595257,11.701518,11.743073,11.766225,11.825886,11.821433,11.82826,11.84785,11.848444,11.87397,11.56743,11.57694,11.670874,11.733976,11.718417,11.645517,11.692772,11.742908,11.759621,11.771435,11.967083,12.099916,11.642005,11.611625,11.694962,11.734539,11.695797,11.796971,12.189684,12.190519,12.142023,12.039176,16001.0,79.0,81.2,84.4,88.0,91.1,25.3,25.3,25.5,26.5,26.6,5.8,5.8,5.8,5.7,5.7,2.4,2.1,1.9,2.0,2.0,60151.0,63137.0,66293.0,69952.0,75115.0,Idaho
Adair County Iowa,2.782208,2.7467659,2.782208,2.8708134,2.8530924,2.9743774,2.9564595,3.0102131,3.0102131,3.0102131,3.099803,3.0460491,2.4547572,2.4726751,2.4368393,2.4547572,2.3830855,2.5332375,2.3895078,2.4254401,2.335609,2.2817104,2.2278118,2.2457778,2.2637441,2.335609,2.335609,2.2457778,2.2457778,2.1295795,2.0934849,2.1837213,2.0934849,2.0754375,2.0393431,2.0573905,2.0754375,2.1295795,2.1837213,19001.0,70.4,72.0,71.8,76.6,76.2,11.6,11.6,14.3,14.7,14.1,1.3,1.5,1.6,1.7,1.3,0.9,0.8,0.6,0.4,0.3,49477.0,51859.0,53363.0,55700.0,57944.0,Iowa
Adair County Kentucky,2.0694129,1.9721051,1.7774894,1.7774894,1.7839767,1.7875715,1.7420697,1.6965679,1.7160686000000005,1.7225689,1.7615705000000002,1.7485700000000002,1.7420697,1.7680707,1.7485700000000002,1.6965679,1.6575662999999998,1.551089,1.7320493,1.7579008,1.7643638,1.7126608000000003,1.7191236,1.7061978999999998,1.7126608000000003,1.7126608000000003,1.6803464,2.0745816,2.0745816,2.1174207,2.1174207,2.0981712,2.0917549,2.0532563,2.1045878,2.1302536,2.123837,2.123837,2.1366699,21001.0,63.6,66.6,69.1,74.0,77.0,7.8,7.8,7.8,8.6,8.6,0.9,1.2,1.6,1.9,2.2,0.9,1.2,1.1,0.8,0.6,36575.0,39346.0,38021.0,43026.0,46652.0,Kentucky
Adair County Missouri,2.7965655,2.9164867,2.9164867,2.9644554,2.9644554,2.9768202,2.9239204,2.962393,3.0152929,3.020102,3.0537655,3.0393384,3.020102,3.0537655,3.0633836,3.0730019,3.077811,3.1054697,2.6791337,2.6985126,2.6694443,2.6452208,2.5919287,2.5677052,2.5822392,2.5483263,2.533792,2.5386367,2.533792,2.536232,2.536232,2.5217392,2.5265701,2.5120773,2.5314009,2.5410628,2.5410628,2.536232,2.5603864,29001.0,72.7,71.4,74.7,78.1,78.8,15.2,14.5,14.5,14.4,15.2,3.9,4.1,4.1,4.3,5.0,3.8,2.5,2.0,1.7,1.7,38750.0,40046.0,41929.0,42301.0,46639.0,Missouri
Adair County Oklahoma,0.78599936,0.76143688,0.74915564,0.7982806,0.79214001,0.79267544,0.74351728,0.7312277,0.7558068,0.74966204,0.7312277,0.7312277,0.7312277,0.77424115,0.97087377,0.97701854,0.98930812,0.9926017499999998,0.98643649,1.0049322,0.96794081,0.97410601,0.97410601,0.9556103299999998,0.9617756,0.9556103299999998,0.9556103299999998,0.94944513,0.9617756,0.97500771,0.96266586,0.97500771,0.9935205,0.98734957,0.97500771,0.96883678,0.96883678,0.98117864,0.99969143,40001.0,49.1,49.0,49.6,51.1,52.6,10.1,8.7,8.5,7.5,7.0,1.9,1.7,1.8,1.8,1.9,0.3,0.3,0.2,0.2,0.2,33366.0,32986.0,34695.0,34375.0,37940.0,Oklahoma
Adams County Colorado,5.5055709,5.4455895,5.4535112,5.442194,5.4328575,5.3272171,5.2484164,5.2312737,5.308692,5.3150516,5.344913,5.3902578,5.4154191,5.4532986,5.4314556,5.4126539,5.3941288,5.2771502,5.2054596,5.2402186,5.2703614,5.2461929,5.2260976,5.2212095,5.2399468,5.2138777,5.2434773,5.3034911,5.3474832,5.2635655,5.2801194,5.3247075,5.35114,5.3273773,5.3759708,5.4504628,5.4555359,5.4873085,5.5121388,8001.0,79.8,82.1,85.0,88.3,90.1,15.8,16.0,16.5,17.3,18.1,15.3,15.4,15.3,14.8,15.0,3.1,2.8,2.7,3.0,2.7,64087.0,67575.0,71202.0,73817.0,78304.0,Colorado
Adams County Idaho,2.8896403,2.9203811,2.9203811,2.951122,3.0433445,3.107861,3.1383302,3.0469227,3.1383302,3.1687994,3.107861,3.107861,3.0773919,3.0773919,3.107861,3.1992688,3.0773919,2.9740872,3.0624263,3.0624263,3.0918727,3.2096584,3.180212,3.0624263,3.0624263,3.03298,3.03298,3.1507657,3.0918727,3.0734205,3.0449631,3.1587934,3.1303358,3.1303358,3.0165055,3.1018782,3.0165055,3.0734205,3.0449631,16003.0,66.1,69.0,73.9,72.8,70.2,11.8,11.2,12.4,11.9,11.6,1.8,1.7,1.2,0.9,1.1,0.6,0.4,0.0,0.0,0.6,42727.0,45319.0,48856.0,50309.0,52746.0,Idaho
